"Taxon","Forward_OR","Forward_P","Forward_NSNP","Reverse_OR","Reverse_P","Reverse_NSNP"
"Acidaminococcaceae",0.960111197290695,0.779169094924158,15,0.597751513363319,0.438451631635231,15
"Actinomycetaceae",0.80157894551073,0.226996010100692,15,0.508680183452248,0.0919476445769492,15
"Bacteroidaceae",1.00767350792244,0.960646301341887,13,1.25138270243753,0.732745583195245,13
"Bifidobacteriaceae",2.16798450686256,0.00149377247982398,10,1.94891561959464,0.00135848104362005,10
"Christensenellaceae",1.44198721649607,0.078118951427133,9,2.05380716805458,0.0884530795745173,9
"Clostridiaceae 1",1.34489669527438,0.120758034134752,14,1.59465146131366,0.182982867108671,14
"Coriobacteriaceae",0.954866877663351,0.825759542891203,14,0.930302164042138,0.836096363181042,14
"Desulfovibrionaceae",0.963368791811616,0.824175922339588,14,0.833616264610033,0.696401997265923,14
"Enterobacteriaceae",0.976645341300885,0.943113652711885,2,0.433833072203089,0.903424993889555,2
"Lachnospiraceae",1.30248708087447,0.138148932548086,13,3.30826349129321,0.0167682673900225,13
"Lactobacillaceae",1.02793412842421,0.88290949519827,21,1.121959509572,0.6559837690284,21
"Prevotellaceae",0.913916618352102,0.63759973519481,20,0.854455102040233,0.550959692551378,20
"Ruminococcaceae",0.870877400634833,0.281171142808533,14,0.564003847694899,0.31805739296798,14
"Tannerellaceae",1.15164727768733,0.504195694161497,16,0.887974440093396,0.689265389098987,16
